,Slice,Mean Intensity
0,0,294.0596
1,1,300.2336
2,2,305.5432
3,3,310.3528
4,4,318.8268
5,5,321.124
6,6,325.1292
7,7,329.4636
8,8,332.3228
9,9,336.3692
10,10,337.278
11,11,341.7416
12,12,340.8044
13,13,343.818
14,14,345.8264
15,15,344.6276
16,16,345.1664
17,17,345.6308
18,18,347.6976
19,19,347.8348
20,20,347.1336
21,21,351.0284
22,22,351.1884
23,23,349.7292
24,24,350.048
25,25,351.4772
26,26,352.1832
27,27,351.226
28,28,351.9268
29,29,351.3124
30,30,352.0724
31,31,354.3336
32,32,356.6408
33,33,354.822
34,34,354.0908
35,35,355.0412
36,36,356.7432
37,37,357.8812
38,38,358.7664
39,39,358.5472
40,40,355.9708
41,41,358.2096
42,42,357.9624
43,43,359.0924
44,44,358.2856
45,45,359.2204
46,46,358.586
47,47,361.5644
48,48,359.378
49,49,358.0564
50,50,358.5432
51,51,360.3876
52,52,358.8628
53,53,360.3336
54,54,359.7076
55,55,358.74
56,56,360.8656
57,57,360.8988
58,58,359.7384
59,59,360.644
60,60,361.9392
61,61,361.5796
62,62,361.3592
63,63,359.8572
64,64,361.2272
65,65,363.6508
66,66,363.8096
67,67,364.338
68,68,363.7284
69,69,365.5156
70,70,366.0364
71,71,365.0424
72,72,362.3776
73,73,365.5648
74,74,364.966
75,75,365.9432
76,76,368.4408
77,77,370.614
78,78,367.9492
79,79,366.9924
80,80,365.9144
81,81,366.978
82,82,362.9788
83,83,362.1416
84,84,364.1008
85,85,364.5088
86,86,366.2424
87,87,365.0384
88,88,364.92
89,89,366.3352
90,90,367.6856
91,91,367.5756
92,92,368.6792
93,93,366.5176
94,94,363.9892
95,95,366.6796
96,96,365.8248
97,97,365.7304
98,98,368.9524
99,99,367.4548
100,100,367.8832
101,101,366.5892
102,102,366.66
103,103,366.806
104,104,368.8628
105,105,368.9664
106,106,366.8668
107,107,366.9912
108,108,367.266
109,109,366.4544
110,110,367.8476
111,111,365.7912
112,112,367.2568
113,113,367.7652
114,114,367.8768
115,115,367.4192
116,116,368.7164
117,117,370.6972
118,118,369.0532
119,119,369.71
120,120,371.41
121,121,370.1744
122,122,371.1856
123,123,371.732
124,124,368.7392
125,125,369.756
126,126,369.446
127,127,373.9132
128,128,360.1252
129,129,370.0252
130,130,369.0872
131,131,368.89
132,132,370.0444
133,133,369.3264
134,134,369.8156
135,135,370.1776
136,136,372.626
137,137,372.97
138,138,370.97
139,139,372.084
140,140,371.424
141,141,372.1824
142,142,371.8964
143,143,372.8624
144,144,372.0864
145,145,370.3204
146,146,372.0748
147,147,372.128
148,148,371.3572
149,149,371.2444
150,150,371.3556
151,151,372.0768
152,152,372.2648
153,153,374.4032
154,154,372.1232
155,155,372.5088
156,156,374.192
157,157,373.5028
158,158,374.928
159,159,373.1688
160,160,374.0528
161,161,371.8308
162,162,376.0568
163,163,376.9272
164,164,377.12
165,165,375.4464
166,166,374.3464
167,167,375.7648
168,168,375.8352
169,169,375.0424
170,170,373.6568
171,171,376.6596
172,172,378.6656
173,173,378.0612
174,174,378.288
175,175,378.1696
176,176,377.9052
177,177,377.3736
178,178,379.4496
179,179,378.5036
180,180,377.9504
181,181,379.8748
182,182,376.8324
183,183,380.0132
184,184,377.5444
185,185,376.9296
186,186,377.3152
187,187,377.8856
188,188,378.1936
189,189,379.846
190,190,380.4272
191,191,380.1588
192,192,378.36
193,193,379.3156
194,194,380.1876
195,195,380.1792
196,196,377.6392
197,197,380.2956
198,198,379.6456
199,199,382.636
200,200,382.5084
201,201,382.6036
202,202,382.112
203,203,382.0204
204,204,381.94
205,205,381.0812
206,206,378.5456
207,207,377.9612
208,208,378.664
209,209,376.996
210,210,380.7844
211,211,379.4108
212,212,380.0284
213,213,380.4568
214,214,378.5576
215,215,379.2656
216,216,379.8428
217,217,382.0168
218,218,378.5652
219,219,381.4492
220,220,378.3968
221,221,380.0132
222,222,379.0588
223,223,376.0216
224,224,382.7316
225,225,380.3524
226,226,380.4584
227,227,378.9636
228,228,380.3936
229,229,381.5988
230,230,380.4184
231,231,381.728
232,232,379.8304
233,233,380.6028
234,234,380.3772
235,235,379.1248
236,236,382.0476
237,237,380.6676
238,238,383.1896
239,239,381.7216
240,240,381.75
241,241,380.9224
242,242,381.444
243,243,378.9456
244,244,380.0708
245,245,381.0784
246,246,379.194
247,247,380.7536
248,248,383.11
249,249,383.3008
250,250,380.706
251,251,383.6376
252,252,383.8792
253,253,384.9328
254,254,385.1988
255,255,381.2344
256,256,381.5752
257,257,381.4368
258,258,383.3544
259,259,384.0608
260,260,382.178
261,261,385.6184
262,262,386.2344
263,263,387.4796
264,264,388.9228
265,265,387.4336
266,266,386.0036
